
ID	Entity	Description	Function
1	Neuron	An electrically excitable cell that processes and transmits information through electrical and chemical signals.	 
2	Interneuron	An interneuron (also called relay neuron, association neuron, connector neuron or local circuit neuron) is a neuron that forms a connection between other neurons. Interneurons are neither motor nor sensory.	 
3	Sensory	Sensory neurons are neurons responsible for converting various external stimuli that come from the environment into corresponding internal stimuli.	 
4	Motor	In neurology, the term motor neuron (or motoneuron) classically applies to neurons located in the central nervous system (or CNS) that project their axons outside the CNS and directly or indirectly control muscles.	 
5	Interneuron/Motor	 	 
6	Pharyngeal interneuron	Interneuron of the pharyngeal nervous system.	 
7	Sensory/Interneuron/Motor	 	 
8	Sensory/Interneuron	 	 
9	Ring Motor	 	 
10	Ring/Pharynx	 	 
11	ADAL	Integrative ring interneurons	Unknown. However, topological cluster analyses suggest ADA may be involved in chemosensation (Sohn et al., 2011).
12	ADAR	Integrative ring interneurons	Unknown. However, topological cluster analyses suggest ADA may be involved in chemosensation (Sohn et al., 2011).
13	ADEL	Anterior deirids. The sensillar branch from the dorsal process follows a dorsal and frequently posterior trajectory ending laterally within the lateral alae in the anterior third of the body.	- ADEL/R are dopaminergic nose touch mechanoceptors. They modulate locomotion behavior in response to the presence of food by textural mechanosensation, wherein upon encountering a lawn of bacteria (or Sephadex G-200 beads) worms slow their forward movement. The three classes of ciliated dopaminergic neurons (CEPs, ADEs, and PDEs) function redundantly in this behavior (i.e. sensing the mechanosensory stimuli during crawling through bacteria (or the beads) and communicating with the motor circuit to bring about the locomotory change) (Sawin et al., 2000). Another form of motor plasticity related to food presence is area restricted search (ARS). CEP and PDE neurons work synergistically to mediate this behavior while ADE modulates it (Hills et al., 2004).
14	ADER	Anterior deirids. The sensillar branch from the dorsal process follows a dorsal and frequently posterior trajectory ending laterally within the lateral alae in the anterior third of the body.	- ADEL/R are dopaminergic nose touch mechanoceptors. They modulate locomotion behavior in response to the presence of food by textural mechanosensation, wherein upon encountering a lawn of bacteria (or Sephadex G-200 beads) worms slow their forward movement. The three classes of ciliated dopaminergic neurons (CEPs, ADEs, and PDEs) function redundantly in this behavior (i.e. sensing the mechanosensory stimuli during crawling through bacteria (or the beads) and communicating with the motor circuit to bring about the locomotory change) (Sawin et al., 2000). Another form of motor plasticity related to food presence is area restricted search (ARS). CEP and PDE neurons work synergistically to mediate this behavior while ADE modulates it (Hills et al., 2004).
15	ADFL	Amphid neurons, with dual (AdF) ciliated sensory endings which are exposed to the external environment. Enter ring via commissure from ventral ganglion. Take up FITC.	ADFL/R are the only serotonergic sensory neurons in the worm and may couple environmental food signals with serotonin neurotransmission (Jafari et al., 2011).
1516	neuromuscular junction	the connection between a neuron and a muscle	 
16	ADFR	Amphid neurons, with dual (AdF) ciliated sensory endings which are exposed to the external environment. Enter ring via commissure from ventral ganglion. Take up FITC.	ADFL/R are the only serotonergic sensory neurons in the worm and may couple environmental food signals with serotonin neurotransmission (Jafari et al., 2011).
17	ADLL	Amphid neurons, dual (AdL) ciliated sensory ending	- ASH, ADL, ASK and ASE sensory neurons are responsible for the detection of certain chemical repellents. ASH plays a major role in this avoidance, whereas ADL, ASK and ASE play minor roles that are only evident when ASH is missing (de Bono and Maricq, 2005; Hiliard et al., 2002; Sambongi et al., 1999; Bargmann et al., 1990). ADL mediate avoidance behavior from heavy metals (Cd++ and Cu++) (Sambongi et al., 1999), odors (e.g. octanol) (Troemel et al., 1995), high osmotic strength and SDS.
18	ADLR	Amphid neurons, dual (AdL) ciliated sensory ending	- ASH, ADL, ASK and ASE sensory neurons are responsible for the detection of certain chemical repellents. ASH plays a major role in this avoidance, whereas ADL, ASK and ASE play minor roles that are only evident when ASH is missing (de Bono and Maricq, 2005; Hiliard et al., 2002; Sambongi et al., 1999; Bargmann et al., 1990). ADL mediate avoidance behavior from heavy metals (Cd++ and Cu++) (Sambongi et al., 1999), odors (e.g. octanol) (Troemel et al., 1995), high osmotic strength and SDS.
19	AFDL	Amphid neurons with finger-like (AfD) ciliated end	- Functions in thermotaxis: AFD neurons are the main thermosensors in C. elegans and laser ablation of the AFD pair makes most animals athermotactic (Ma and Shen, 2012; Beverly et al, 2011; Kuhara et al, 2008; Satterlee et al., 2004; Mori and Ohshima, 1995). After cultivation at a uniform temperature (Tc) with sufficient food, animals preferentially migrate to their cultivation temperature (Tc) when placed on a thermal gradient, and move isothermally at this temperature (Hedgecock and Russell 1975). Animals sense and record their Tc by AFD (major thermosensory), AWC and ASI neurons (Beverly et al, 2011; Kuhara et al., 2008; Biron et al., 2008). This memory is plastic and can be reset upon cultivation at a different temperature (Hedgecock and Russell 1975). The AFD, AWC and ASI neurons may to act in concert to increase turning rate when animals encounter higher temperatures than Tc on a gradient to move down the gradient toward colder temperatures near Tc (negative thermotaxis) (Biron et al., 2008). To track isotherms, animals do not actively pursue isothermal alignment, but once serendipitously aligned along an isotherm (at T=Tc), they track by suppressing turns (Luo et al., 2006).This may be achieved by the animal increasing its reversal frequency when it detects a rise in temperature, which activates Ca++ influx in AFD via cGMP-dependent TAX-2/TAX-4 cation channel (cGMP production in AFD is redundantly carried out by GCY-8, GCY-18 and GCY-23 and gcy-23, gcy-8, and gcy-18 triple mutants show a cryophilic or athermotactic phenotype) (Inada et al., 2006). AFD neurons respond to thermal stimuli above Tc with continuous, graded calcium signals in a deterministic and highly reproducible way. The thermal information is transmitted by AFD and AWC to AIY interneurons for information processing, and AIY neurons, in turn, transmit it to AIZ and RIA interneurons for further processing. It is suggested that activation of AFD neurons by warming above Tc induces the animal to reverse by inhibiting AIY since loss of AFD (by ablation) suppresses spontaneous reversals in an AIY-dependent manner, while loss of AIY (by ablation) increases spontaneous reversals (de Bono and Maricq 2005; Tsalik and Hobert, 2003).
20	AFDR	Amphid neurons with finger-like (AfD) ciliated end	- Functions in thermotaxis: AFD neurons are the main thermosensors in C. elegans and laser ablation of the AFD pair makes most animals athermotactic (Ma and Shen, 2012; Beverly et al, 2011; Kuhara et al, 2008; Satterlee et al., 2004; Mori and Ohshima, 1995). After cultivation at a uniform temperature (Tc) with sufficient food, animals preferentially migrate to their cultivation temperature (Tc) when placed on a thermal gradient, and move isothermally at this temperature (Hedgecock and Russell 1975). Animals sense and record their Tc by AFD (major thermosensory), AWC and ASI neurons (Beverly et al, 2011; Kuhara et al., 2008; Biron et al., 2008). This memory is plastic and can be reset upon cultivation at a different temperature (Hedgecock and Russell 1975). The AFD, AWC and ASI neurons may to act in concert to increase turning rate when animals encounter higher temperatures than Tc on a gradient to move down the gradient toward colder temperatures near Tc (negative thermotaxis) (Biron et al., 2008). To track isotherms, animals do not actively pursue isothermal alignment, but once serendipitously aligned along an isotherm (at T=Tc), they track by suppressing turns (Luo et al., 2006).This may be achieved by the animal increasing its reversal frequency when it detects a rise in temperature, which activates Ca++ influx in AFD via cGMP-dependent TAX-2/TAX-4 cation channel (cGMP production in AFD is redundantly carried out by GCY-8, GCY-18 and GCY-23 and gcy-23, gcy-8, and gcy-18 triple mutants show a cryophilic or athermotactic phenotype) (Inada et al., 2006). AFD neurons respond to thermal stimuli above Tc with continuous, graded calcium signals in a deterministic and highly reproducible way. The thermal information is transmitted by AFD and AWC to AIY interneurons for information processing, and AIY neurons, in turn, transmit it to AIZ and RIA interneurons for further processing. It is suggested that activation of AFD neurons by warming above Tc induces the animal to reverse by inhibiting AIY since loss of AFD (by ablation) suppresses spontaneous reversals in an AIY-dependent manner, while loss of AIY (by ablation) increases spontaneous reversals (de Bono and Maricq 2005; Tsalik and Hobert, 2003).
21	AIAL	Ring interneurons. AIAL and AIAR are located anter	Integration of information from amphid sensory neurons; AIAL/R is one of the four first layer amphid interneuron pairs (AIA, AIB, AIY, and AIZ) that receives and processes synaptic output from the amphid sensory neurons towards a behavioral response. AIA pair is suggested to sum inputs from various chemosensory neurons before passing the information on to AIB pair, which synapses onto motor neurons (AIA-AIB connections are likely to be inhibitory) (Wakayabashi et al., 2004). AIA is the main target of ASI outputs.
22	AIAR	Ring interneurons. AIAL and AIAR are located anter	Integration of information from amphid sensory neurons; AIAL/R is one of the four first layer amphid interneuron pairs (AIA, AIB, AIY, and AIZ) that receives and processes synaptic output from the amphid sensory neurons towards a behavioral response. AIA pair is suggested to sum inputs from various chemosensory neurons before passing the information on to AIB pair, which synapses onto motor neurons (AIA-AIB connections are likely to be inhibitory) (Wakayabashi et al., 2004). AIA is the main target of ASI outputs.
